# ELK reasoning over the merged Empty Quarter ontology, run on `ws`.
# Source: data-paper/scripts/benchmark_elk.groovy + run_with_rss.py.
# Java options: -Xms16g -Xmx100g (set via JAVA_OPTS).
# Note: rubalkhali_taxonomy_abox.{owl,ttl} fails to load alongside rubalkhali_taxonomy_rak.owl
# due to ontology-IRI collision in the OWL API. The numbers below therefore
# describe the TBox + non-taxonomy ABox subset that ELK actually sees,
# which is the same subset that the existing validate_consistency.groovy
# script processes today.
metric	value	unit
modules_loaded	9	count
total_axioms	353769	count
logical_axioms	213508	count
classes	4819	count
named_individuals	61758	count
load_all_modules	747.315	seconds
elk_instantiate	0.186	seconds
elk_isConsistent	1.156	seconds
elk_precompute_class_hierarchy	0.293	seconds
elk_total	1.635	seconds
unsatisfiable_classes	0	count
peak_rss	72361.7	MiB
wall_time_total	1385.43	seconds
